video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/shorts/nfUOFARdrjw,/@pokedgeofficial,Pokedge,"Darkrai Vstar Collection Pack Opening! (Day 74) Pulling $5,000 Worth of Pokemon Cards #pokemontcg",52K,20 hours,"Found this box off a card shop and market says it's $110?!?! Luckily I got it for $90! We got Lost Origin, Astral Radiance, and ...",2026-01-21 18:55:30.921443
/watch?v=fXBGpvyYWnM&pp=ygUHcG9rZW1vbg%3D%3D,/@MandJTV,MandJTV,If Every Pokémon Could Evolve,1.5M,3 months,What if every Pokemon with no evolutions could evolve into or from an existing Pokemon?,2026-01-21 18:55:37.864604
/watch?v=T-B75QJQwC4&pp=ygUHcG9rZW1vbtIHCQmHCgGHKiGM7w%3D%3D,/@mysticrips,Mystic Rips,Risking it All on the Top Pokémon Cards of 2025,62K,2 weeks,Download Collectr here: https://link-to.app/amMGkitMif Visit their website: https://onlycards.com Everything pulled today will be ...,2026-01-21 18:55:37.868433
/shorts/IdtrzqzEfaQ,/@BB_BrainBoost,Brain Boost,Deciding Halloween Costumes with Pokémon Cards,8.1M,3 months,shorts.,2026-01-21 18:55:37.869731
/watch?v=VHx0-ZQUxMI&pp=ygUHcG9rZW1vbg%3D%3D,/@MandJTVPlays,MandJTV Plays,"Pokémon Legends: Z-A, but I'm Team Sky",841K,1 month,Team Sky flies to Lumiose City 📽️Subscribe here! http://bit.ly/mandjtv_plays Merch store! https://mandjtvmerch.com/ Patreon ...,2026-01-21 18:55:37.871014
/shorts/Dq-EeplMxZc,/@Rawliet,Rawliet,People are NOT Happy About Pokemon Legends ZA #shorts,2.7M,3 months,A lot of people are not very happy with how some pokemon fans are enjoying pokemon legends za. With many people getting ...,2026-01-21 18:55:37.872406
/watch?v=sAoNMaLVhWw&pp=ygUHcG9rZW1vbtIHCQmHCgGHKiGM7w%3D%3D,/@RyansWorld,Ryan's World,"Ryan, Emma, & Kate Open SUPER RARE Pokémon Cards! Ultra Rare UMBREON Card!",802K,11 months,"Ryan, Emma, & Kate Open SUPER RARE Pokémon Cards! Ultra Rare UMBREON Card!",2026-01-21 18:55:37.873696
/watch?v=EjlTrP8O9nY&pp=ygUHcG9rZW1vbg%3D%3D,/@Gnoggin,Lockstin & Gnoggin,Every Time Pokémon Evolve Backwards,59K,21 hours,Thank you Helix Sleep for sponsoring! Visit https://helixsleep.com/lockstin to take advantage of their Flash Sale. Exclusive Partner ...,2026-01-21 18:55:37.876146
/watch?v=cykN0_7uETY&pp=ygUHcG9rZW1vbg%3D%3D,/@MandJTVExtra,MandJTV Extra,2026 Pokémon Meme Review,368K,11 days,"The January 2026 episode of ASPITPIAY, aka Pokemon Meme Review! 📽️Main Channel! http://bit.ly/mandjtv_sub Merch ...",2026-01-21 18:55:37.877423
/watch?v=fNMp3vDVMCk&pp=ygUHcG9rZW1vbg%3D%3D,/@RealBreakingNate,RealBreakingNate,JACKPOT OF HIDDEN POKEMON CARDS FOUND UNDER STORE SHELF! Opening #88,511K,3 months,I found a jackpot of Hidden Pokemon cards located under a store shelf! Searching for old Pokemon cards that have been hiding in ...,2026-01-21 18:55:37.878773
/watch?v=cP9hQRcjqec&pp=ygUHcG9rZW1vbg%3D%3D,/@Purplecliffe,Purplecliffe,I Spent 100 Days in Pokemon: Legends Z-A,362K,1 month,I meant to spend 100 days... I ended up 100%'ing the game. Get Exclusive NordVPN deal + 4 months extra here ...,2026-01-21 18:55:37.879927
/watch?v=KFSi4jdREHI&pp=ygUHcG9rZW1vbg%3D%3D,/@MandJTV,MandJTV,If Every Gym Leader Got 1 Unfair Pokémon,436K,7 days,What if every gym leader was allowed one Pokemon to counter their weaknesses? Go to https://buyraycon.com/mandjtvBC to get ...,2026-01-21 18:55:37.881385
/watch?v=zf7EZR7tMKU&list=RDzf7EZR7tMKU&start_radio=1&pp=ygUHcG9rZW1vbqAHAQ%3D%3D,/@pokemon,The Official Pokémon YouTube channel,Pokémon Day 2024: Time to POKÉDANCE! 💃🎶,21M,1 year,"To commemorate Pokémon Day today, past generation partner Pokémon have come together to dance! We hope you're dancing ...",2026-01-21 18:55:37.882808
/watch?v=X6vG5rXgpZY&pp=ygUHcG9rZW1vbg%3D%3D,/@CrispyPokemon,Crispy Pokemon,I Went to My First Pokemon Card Show,616K,3 months,"spending $500 at my first pokemon card show click subscribe, more vids coming soon! my links stream - http://twitch.tv/crispy ...",2026-01-21 18:55:37.884029
